Na2O_coal ,MgO_coal,Al2O3_coal,SiO2_coal,p2o5_coal,K2O_coal,TiO2_coal,MnO2_coal,Fe2O3_coal,CaO_coal,SO3_coal,na20_flyash,MgO_flyash,Al2O3_flyash,SiO2_flyash,p2o5_flyash,K2O_flyash,TiO2_flyash,MnO2_flyash,Fe2O3_flyash,CaO_flyash,SO3_flyash
0.7,1.98,17.82,30.81,0.15,2.26,0.37,0.12,12.26,13.52,17.81,0.93,2.41,19.36,42.17,0.19,2.83,0.4,0.17,12.95,20.39,2.7675
0.77,2.1,16.88,32.65,0.19,2.25,0.4,0.13,13.48,16.14,17.62,0.98,2.38,19.11,36.36,0.21,2.59,0.43,0.15,14.19,19.5,3.2475
0.96,2.05,16.53,34.47,0.19,2.38,0.39,0.14,12.62,16.46,16.54,1.03,2.26,21.24,38.59,0.18,2.75,0.59,0.13,13.49,13.94,2.975
0.72,2.11,13.61,31.18,0.22,2.08,0.37,0.17,12.77,22.36,14.32,0.88,2.65,16.59,38.55,0.27,2.73,0.44,0.2,14.08,24.59,3.0175
0.87,2.16,13.88,32.56,0.21,2.18,0.29,0.17,12.6,21.74,13.69,1.09,2.84,15.36,37.25,0.24,2.89,0.34,0.21,14.9,27.99,2.9475
0.69,2.04,15.07,32.04,0.17,2.21,0.32,0.14,12.35,17.56,14.42,1.1,2.59,16.88,36.86,0.23,2.65,0.37,0.2,13.57,24.25,2.3325
0.79,2.02,13.94,33.71,0.19,2.13,0.34,0.17,12.37,20.09,16.44,0.99,2.48,16.91,36.96,0.21,2.5,0.44,0.18,13.65,22.77,3.265
0.65,1.78,10.49,32.27,0.16,2.1,0.22,0.14,13.3,15.36,18.11,0.91,2.75,14.41,38.24,0.25,2.87,0.36,0.22,14.55,25.76,3.725
0.6,1.97,16.12,29.47,0.17,2.27,0.35,0.1,12.21,16.06,17.26,0.67,2.36,20.25,43.48,0.19,2.92,0.44,0.14,12.14,18.41,3.2025
0.74,2.25,13.48,33.48,0.2,2.08,0.32,0.16,12.27,21.79,17.85,1.06,2.58,15.53,39.65,0.39,2.58,0.44,0.21,13.91,26.15,4.3325
0.74,2.49,13.47,32.04,0.19,1.9,0.29,0.14,12.45,19.24,18.39,0.93,2.94,16.24,37.6,0.25,2.56,0.38,0.17,13.99,24.6,2.5025
0.74,1.85,15.64,32.4,0.18,1.98,0.37,0.13,12.21,15.45,22.03,0.96,2.41,16.99,36.66,0.21,2.78,0.4,0.19,14.91,19.86,4.695
0.85,2.1,14.72,29.19,0.2,2.39,0.29,0.17,12.54,16.87,18.18,1.17,2.98,17.55,37.04,0.25,3,0.34,0.21,14.11,22.23,4.28
0.74,1.68,18.4,36.37,0.14,2.09,0.37,0.12,11.99,11.33,19.88,0.84,1.91,22.71,42.63,0.15,2.51,0.42,0.12,13.75,11.16,4.9625
0.65,1.76,18.72,30.84,0.14,2.19,0.38,0.11,12.78,12.71,20.99,0.8,2.06,22.91,34.91,0.14,2.82,0.45,0.1,14.58,12.15,3.805
